Age,Model,AUC,se,upper,lower
40-45,Genomic,0.603508868177828,0.0174679597674443,0.620976827945273,0.586040908410384
45-50,Genomic,0.618129832795801,0.0125245118518773,0.630654344647679,0.605605320943924
50-55,Genomic,0.604610126283228,0.00977614045420713,0.614386266737435,0.594833985829021
55-60,Genomic,0.600013810324928,0.0082591033793756,0.608272913704304,0.591754706945552
60-65,Genomic,0.574907417902552,0.00631602294122329,0.581223440843775,0.568591394961328
65-70,Genomic,0.573232497833908,0.00660237381141535,0.579834871645323,0.566630124022493
70-75,Genomic,0.577667629381001,0.0365936969642033,0.614261326345204,0.541073932416797
40-45,Non Genomic,0.564009263732859,0.012344712504841,0.5763539762377,0.551664551228018
45-50,Non Genomic,0.60421354117341,0.0107552308274187,0.614968772000828,0.593458310345991
50-55,Non Genomic,0.649034492816867,0.00987490295765306,0.65890939577452,0.639159589859214
55-60,Non Genomic,0.658803656431441,0.0082118216049081,0.667015478036349,0.650591834826533
60-65,Non Genomic,0.657432960122214,0.00607612567104095,0.663509085793255,0.651356834451173
65-70,Non Genomic,0.626299676209135,0.00655648147525485,0.63285615768439,0.61974319473388
70-75,Non Genomic,0.564631956912029,0.0382535495498061,0.602885506461835,0.526378407362223
40-45,Combined,0.65169062894172,0.0184176260096302,0.67010825495135,0.633273002932089
45-50,Combined,0.682521445177249,0.0133674329056948,0.695888878082943,0.669154012271554
50-55,Combined,0.698766888726916,0.0106146498888603,0.709381538615776,0.688152238838056
55-60,Combined,0.700422593056625,0.00847239579717393,0.708894988853799,0.691950197259451
60-65,Combined,0.685958804772606,0.00645311902197577,0.692411923794582,0.67950568575063
65-70,Combined,0.658498014361957,0.00704276428404788,0.665540778646004,0.651455250077909
70-75,Combined,0.602275388338147,0.0403718198824072,0.642647208220554,0.56190356845574
