Age,Model,AUC,se,upper,lower
40-45,Genomic,0.603508868177828,0.0174679597674443,0.620976827945273,0.586040908410384
45-50,Genomic,0.618129832795801,0.0125245118518773,0.630654344647679,0.605605320943924
50-55,Genomic,0.604610126283228,0.00977614045420713,0.614386266737435,0.594833985829021
55-60,Genomic,0.600013810324928,0.0082591033793756,0.608272913704304,0.591754706945552
60-65,Genomic,0.574907417902552,0.00631602294122329,0.581223440843775,0.568591394961328
65-70,Genomic,0.573232497833908,0.00660237381141535,0.579834871645323,0.566630124022493
70-75,Genomic,0.577667629381001,0.0365936969642033,0.614261326345204,0.541073932416797
40-45,Non Genomic,0.777553197080453,0.0150076844863879,0.792560881566841,0.762545512594066
45-50,Non Genomic,0.763098951316222,0.0113650088276976,0.774463960143919,0.751733942488524
50-55,Non Genomic,0.737251079370619,0.00940384424749663,0.746654923618115,0.727847235123122
55-60,Non Genomic,0.707462106748472,0.00819904329296724,0.71566115004144,0.699263063455505
60-65,Non Genomic,0.690077730497035,0.00644740005812563,0.69652513055516,0.683630330438909
65-70,Non Genomic,0.656227662308015,0.00712414234799437,0.663351804656009,0.64910351996002
70-75,Non Genomic,0.619506673952072,0.0411784740709527,0.660685148023025,0.57832819988112
40-45,Combined,0.755779460090434,0.0162890283387698,0.772068488429203,0.739490431751664
45-50,Combined,0.755115778785954,0.0126892102856578,0.767804989071612,0.742426568500296
50-55,Combined,0.740943949100704,0.00993186579371453,0.750875814894418,0.731012083306989
55-60,Combined,0.724540081545856,0.0081139149115848,0.732653996457441,0.716426166634271
60-65,Combined,0.69966018760428,0.00651393535394698,0.706174122958227,0.693146252250333
65-70,Combined,0.671237287545365,0.00715237137401088,0.678389658919376,0.664084916171354
70-75,Combined,0.625204902037312,0.0404317807023072,0.665636682739619,0.584773121335004
