Polygenic Score,Pooled cohort equations,LDL Cholesterol,Smoking,Age,Systolic blood pressure,Diabetes mellitus,Body Mass Index,Male Sex,High-density Lipoprotein,Total cholesterol,age
0.059,0.056,0.027,0.027,0,0.009,0.001,0.015,0.025,0.045,0.024,41
0.042,0.057,0.03,0.027,0.002,0.014,0,0.015,0.034,0.04,0.024,42
0.028,0.051,0.038,0.019,0.002,0.018,0,0.013,0.031,0.036,0.03,43
0.028,0.058,0.044,0.023,0.003,0.019,0,0.015,0.033,0.036,0.035,44
0.026,0.066,0.046,0.023,0.005,0.024,0,0.016,0.037,0.034,0.038,45
0.027,0.069,0.043,0.021,0.006,0.027,0.001,0.013,0.038,0.032,0.035,46
0.025,0.073,0.041,0.02,0.007,0.026,0,0.012,0.037,0.029,0.033,47
0.026,0.073,0.04,0.019,0.007,0.026,0.001,0.012,0.035,0.03,0.033,48
0.027,0.072,0.04,0.017,0.007,0.027,0.001,0.012,0.035,0.03,0.032,49
0.026,0.07,0.037,0.017,0.007,0.026,0.001,0.012,0.035,0.028,0.03,50
0.026,0.07,0.036,0.016,0.007,0.027,0.001,0.011,0.035,0.027,0.029,51
0.026,0.068,0.034,0.014,0.009,0.025,0.001,0.01,0.036,0.026,0.026,52
0.024,0.067,0.034,0.014,0.01,0.025,0.001,0.01,0.036,0.025,0.025,53
0.023,0.067,0.032,0.014,0.01,0.024,0.001,0.009,0.036,0.023,0.024,54
0.024,0.068,0.03,0.013,0.01,0.023,0.001,0.009,0.036,0.024,0.022,55
0.024,0.067,0.029,0.013,0.011,0.023,0.001,0.008,0.036,0.024,0.02,56
0.023,0.068,0.027,0.012,0.012,0.023,0.001,0.008,0.036,0.024,0.019,57
0.023,0.068,0.026,0.011,0.013,0.023,0.001,0.007,0.035,0.024,0.017,58
0.023,0.067,0.024,0.011,0.014,0.023,0.001,0.007,0.036,0.025,0.015,59
0.022,0.068,0.023,0.01,0.015,0.024,0.001,0.007,0.034,0.025,0.014,60
0.02,0.068,0.022,0.009,0.017,0.024,0.001,0.007,0.034,0.025,0.013,61
0.019,0.066,0.02,0.009,0.018,0.023,0.001,0.007,0.033,0.024,0.012,62
0.019,0.066,0.019,0.008,0.018,0.024,0.001,0.007,0.033,0.023,0.011,63
0.018,0.065,0.018,0.007,0.02,0.024,0.001,0.007,0.032,0.022,0.01,64
0.018,0.064,0.017,0.007,0.021,0.023,0.002,0.006,0.032,0.022,0.009,65
0.018,0.065,0.016,0.006,0.022,0.024,0.002,0.006,0.032,0.022,0.008,66
0.018,0.065,0.015,0.006,0.024,0.024,0.002,0.006,0.031,0.021,0.008,67
0.017,0.065,0.014,0.005,0.025,0.025,0.002,0.006,0.031,0.021,0.007,68
0.017,0.064,0.014,0.005,0.027,0.025,0.002,0.005,0.03,0.021,0.007,69
0.017,0.064,0.013,0.005,0.027,0.025,0.002,0.005,0.029,0.021,0.006,70
