ages,variable,value,error
<50,Net Reclassification Event,0.161218424962853,0.00123816992889147
<55,Net Reclassification Event,0.0341284403669725,0.000481233613892565
<60,Net Reclassification Event,-0.107845210403891,0.000688969648443973
<65,Net Reclassification Event,-0.250745156482861,0.000824056680944557
<70,Net Reclassification Event,-0.353168887288441,0.000836330459294683
<75,Net Reclassification Event,-0.355942806076854,0.000836225379453242
<50,Net Reclassification Non-event,-0.154983249099135,0.00121849433360546
<55,Net Reclassification Non-event,-0.109652327130517,0.000828183903411306
<60,Net Reclassification Non-event,-0.0346525901043114,0.000406246116106455
<65,Net Reclassification Non-event,0.0600166040601767,0.000451566617592355
<70,Net Reclassification Non-event,0.149061944322061,0.000623194496118728
<75,Net Reclassification Non-event,0.151386243987784,0.000625992683405001
