age,value.Polygenic score,low.se.Polygenic score,upper.se.Polygenic score,value.Pooled cohort equations,low.se.Pooled cohort equations,upper.se.Pooled cohort equations,value.LDL Cholesterol,low.se.LDL Cholesterol,upper.se.LDL Cholesterol,value.Smoking,low.se.Smoking,upper.se.Smoking,value.Age,low.se.Age,upper.se.Age,value.Systolic blood pressure,low.se.Systolic blood pressure,upper.se.Systolic blood pressure,value.Diabetes mellitus,low.se.Diabetes mellitus,upper.se.Diabetes mellitus,value.Body Mass Index,low.se.Body Mass Index,upper.se.Body Mass Index,value.Male Sex,low.se.Male Sex,upper.se.Male Sex,value.High-density lipoprotein,low.se.High-density lipoprotein,upper.se.High-density lipoprotein,value.Total cholesterol,low.se.Total cholesterol,upper.se.Total cholesterol
41.00,2.25,1.77,2.87,1.24,1.18,1.30,1.69,1.36,2.09,3.51,2.13,5.80,1.01,0.48,2.10,1.49,1.12,1.99,NA,NA,NA,1.42,1.17,1.71,3.20,1.82,5.64,0.38,0.26,0.54,1.68,1.34,2.11
42.00,1.73,1.52,1.96,1.22,1.19,1.25,1.80,1.62,2.00,2.82,2.15,3.69,0.99,0.84,1.16,1.69,1.47,1.94,2.40,0.60,9.67,1.39,1.26,1.53,3.71,2.75,5.00,0.43,0.36,0.51,1.75,1.57,1.96
43.00,1.64,1.47,1.84,1.22,1.20,1.25,1.85,1.70,2.02,3.11,2.46,3.94,0.94,0.83,1.08,1.71,1.52,1.92,3.16,1.01,9.86,1.39,1.28,1.52,3.88,2.97,5.06,0.45,0.38,0.53,1.79,1.63,1.97
44.00,1.58,1.43,1.75,1.21,1.19,1.23,1.88,1.74,2.03,2.98,2.39,3.72,1.01,0.89,1.14,1.79,1.62,1.99,2.36,0.76,7.36,1.41,1.30,1.53,4.11,3.21,5.25,0.47,0.41,0.54,1.86,1.71,2.03
45.00,1.68,1.53,1.84,1.21,1.19,1.23,1.82,1.69,1.96,3.09,2.53,3.78,0.98,0.88,1.10,1.82,1.66,2.00,2.72,1.01,7.27,1.36,1.27,1.47,4.30,3.43,5.40,0.48,0.43,0.55,1.79,1.64,1.94
46.00,1.60,1.46,1.75,1.20,1.19,1.22,1.73,1.61,1.86,2.81,2.31,3.41,0.97,0.87,1.08,1.77,1.62,1.94,2.09,0.78,5.59,1.30,1.21,1.40,4.01,3.25,4.94,0.53,0.47,0.59,1.70,1.56,1.84
47.00,1.66,1.53,1.81,1.20,1.18,1.22,1.66,1.55,1.79,2.64,2.19,3.19,0.94,0.85,1.04,1.69,1.55,1.84,2.78,1.24,6.21,1.28,1.19,1.37,3.37,2.79,4.08,0.52,0.47,0.58,1.61,1.49,1.74
48.00,1.67,1.54,1.82,1.20,1.18,1.21,1.68,1.57,1.80,2.43,2.01,2.93,0.93,0.84,1.02,1.65,1.53,1.79,2.65,1.26,5.59,1.30,1.22,1.39,3.26,2.71,3.92,0.51,0.46,0.56,1.61,1.50,1.74
49.00,1.67,1.54,1.81,1.18,1.16,1.20,1.62,1.51,1.74,2.49,2.07,2.99,0.92,0.83,1.01,1.63,1.51,1.76,3.17,1.69,5.92,1.32,1.24,1.41,3.29,2.75,3.92,0.52,0.47,0.57,1.56,1.45,1.68
50.00,1.66,1.54,1.79,1.16,1.15,1.18,1.61,1.50,1.72,2.44,2.04,2.92,0.93,0.85,1.02,1.63,1.51,1.76,3.09,1.70,5.61,1.31,1.23,1.39,3.55,2.99,4.23,0.56,0.51,0.61,1.52,1.41,1.63
