Polygenic Score,LDL Cholesterol,Smoking,Age,Systolic blood pressure,Total cholesterol,Body Mass Index,Male Sex,High-density Lipoprotein,age
0.19,0.001,0.064,0.05,0.036,0,0.014,0.039,0.006,18
0.105,0,0.058,0.013,0.048,0.004,0.024,0.049,0.02,19
0.142,0.002,0.034,0.007,0.052,0.007,0.012,0.035,0.015,20
0.09,0.001,0.023,0.017,0.056,0,0.018,0.034,0.001,21
0.064,0.002,0.023,0.005,0.065,0,0.024,0.039,0,22
0.059,0,0.02,0.01,0.061,0,0.036,0.048,0.007,23
0.057,0.001,0.027,0.009,0.061,0.003,0.033,0.043,0.005,24
0.04,0.003,0.02,0.025,0.037,0,0.068,0.036,0.02,25
0.02,0.003,0.014,0.034,0.024,0.002,0.042,0.037,0.012,26
0.017,0.004,0.02,0.023,0.026,0.002,0.038,0.04,0.017,27
0.034,0.009,0.017,0.042,0.029,0.004,0.036,0.027,0.027,28
0.02,0.01,0.016,0.035,0.023,0.005,0.028,0.023,0.02,29
0.02,0.012,0.016,0.025,0.02,0.008,0.027,0.025,0.025,30
0.021,0.02,0.011,0.031,0.027,0.014,0.036,0.026,0.035,31
0.024,0.018,0.01,0.031,0.028,0.013,0.035,0.024,0.028,32
0.021,0.021,0.009,0.025,0.027,0.015,0.037,0.023,0.027,33
0.023,0.021,0.009,0.027,0.026,0.016,0.034,0.027,0.028,34
0.027,0.022,0.009,0.031,0.024,0.016,0.034,0.02,0.028,35
0.029,0.026,0.012,0.032,0.022,0.019,0.033,0.026,0.035,36
0.031,0.026,0.011,0.028,0.022,0.02,0.032,0.025,0.03,37
0.03,0.03,0.01,0.033,0.023,0.024,0.031,0.028,0.031,38
0.03,0.035,0.01,0.033,0.023,0.027,0.033,0.03,0.037,39
0.031,0.032,0.01,0.032,0.023,0.024,0.031,0.03,0.034,40
0.031,0.03,0.01,0.036,0.022,0.023,0.029,0.032,0.037,41
0.032,0.037,0.01,0.038,0.024,0.027,0.032,0.032,0.04,42
0.032,0.039,0.009,0.039,0.025,0.029,0.033,0.032,0.042,43
0.032,0.042,0.007,0.039,0.023,0.031,0.032,0.034,0.042,44
0.034,0.044,0.008,0.044,0.023,0.033,0.032,0.033,0.043,45
0.035,0.047,0.008,0.047,0.024,0.037,0.031,0.029,0.039,46
0.033,0.048,0.008,0.049,0.025,0.04,0.03,0.028,0.035,47
0.032,0.052,0.008,0.055,0.027,0.043,0.031,0.03,0.035,48
0.033,0.052,0.008,0.055,0.026,0.044,0.031,0.03,0.036,49
0.032,0.053,0.008,0.059,0.027,0.045,0.03,0.027,0.033,50
0.033,0.051,0.008,0.061,0.028,0.044,0.03,0.029,0.031,51
0.032,0.053,0.008,0.063,0.029,0.046,0.03,0.028,0.03,52
0.033,0.054,0.007,0.062,0.027,0.044,0.03,0.03,0.031,53
0.031,0.051,0.007,0.063,0.025,0.043,0.029,0.03,0.03,54
0.032,0.051,0.007,0.063,0.026,0.043,0.029,0.029,0.03,55
0.032,0.051,0.007,0.065,0.026,0.043,0.029,0.029,0.031,56
0.032,0.052,0.006,0.065,0.027,0.043,0.029,0.03,0.031,57
