ints,variable,value,lower,upper
(40,45],PRS,0.322660098522167,0.320274801307381,0.325045395736954
(45,50],PRS,0.287173666288309,0.285104844584231,0.289242487992387
(50,55],PRS,0.173312883435583,0.171657979099878,0.174967787771287
(55,60],PRS,0.116648992576882,0.115312633993727,0.117985351160037
(60,65],PRS,0.0609480812641084,0.0600449730355003,0.0618511894927165
(65,70],PRS,0.0130373502466526,0.0125148936269229,0.0135598068663822
(70,75],PRS,0,0,0
NA,PRS,NA,NA,NA
(40,45],Both,0.0886699507389163,0.0872015163336027,0.0901383851442299
(45,50],Both,0.105561861520999,0.103945320399143,0.107178402642855
(50,55],Both,0.174846625766871,0.172907485153467,0.176785766380275
(55,60],Both,0.231707317073171,0.229642132678635,0.233772501467707
(60,65],Both,0.239277652370203,0.237398955377138,0.241156349363268
(65,70],Both,0.268851303735025,0.266708602745419,0.27099400472463
(70,75],Both,0.226666666666667,0.214261136417505,0.239072196915828
NA,Both,NA,NA,NA
(40,45],PCE,0.0911330049261084,0.0896825888032416,0.0925834210489752
(45,50],PCE,0.146424517593644,0.145019481230022,0.147829553957265
(50,55],PCE,0.269171779141104,0.267511111004325,0.270832447277884
(55,60],PCE,0.437433722163309,0.435677218420007,0.43919022590661
(60,65],PCE,0.54821025475653,0.546599686500391,0.549820823012669
(65,70],PCE,0.68322762508809,0.681185585584709,0.685269664591471
(70,75],PCE,0.773333333333333,0.760927803084172,0.785738863582494
NA,PCE,NA,NA,NA
