ints,Risk Stratification,value,lower,upper
(40,45],PRS,0.318706697459584,0.316353828246131,0.321059566673038
(45,50],PRS,0.285245901639344,0.28320650649799,0.287285296780699
(50,55],PRS,0.172113289760349,0.170490846068093,0.173735733452604
(55,60],PRS,0.115097159940209,0.113798267744984,0.116396052135434
(60,65],PRS,0.0616726835138387,0.0607881876763114,0.0625571793513661
(65,70],PRS,0.0121112929623568,0.0116216918134011,0.0126008941113125
(70,75],PRS,0,0,0
(40,45],Both,0.0993071593533487,0.0977815323224926,0.100832786384205
(45,50],Both,0.111475409836066,0.109868725959377,0.113082093712754
(50,55],Both,0.18082788671024,0.178903526996245,0.182752246424234
(55,60],Both,0.233183856502242,0.231164585428937,0.235203127575548
(60,65],Both,0.242178098676294,0.240348552284528,0.244007645068059
(65,70],Both,0.270049099836334,0.26796777564659,0.272130424026078
(70,75],Both,0.215189873417722,0.203356200526644,0.227023546308799
(40,45],PCE,0.10161662817552,0.10010650015057,0.10312675620047
(45,50],PCE,0.148633879781421,0.147212410066905,0.150055349495936
(50,55],PCE,0.277414669571532,0.275760434370763,0.279068904772302
(55,60],PCE,0.43796711509716,0.436246087347072,0.439688142847248
(60,65],PCE,0.549037304452467,0.54746214980299,0.550612459101944
(65,70],PCE,0.68379705400982,0.68180976351944,0.6857843445002
(70,75],PCE,0.784810126582278,0.772976453691201,0.796643799473356
