ints,ASCVD 10 year-Risk,value,lower,upper
(40,45],<7.5,0.964943144153791,0.964014450503556,0.965871837804026
(45,50],<7.5,0.93312933496532,0.932001093416672,0.934257576513968
(50,55],<7.5,0.824666087823983,0.823031723008056,0.826300452639909
(55,60],<7.5,0.643608474548195,0.641659224425376,0.645557724671015
(60,65],<7.5,0.458496687846424,0.456664622961566,0.460328752731283
(65,70],<7.5,0.119988780478032,0.118534301035437,0.121443259920626
(70,75],<7.5,0.00995024875621891,0.0070921855782473,0.0128083119341905
(40,45],>20,0.000509917903217582,-0.00041191225744464,0.0014317480638798
(45,50],>20,0.00222358221134231,0.0011145692734218,0.00333259514926282
(50,55],>20,0.00672442777705936,0.00511680720368605,0.00833204835043267
(55,60],>20,0.0243171164008017,0.0224009995665212,0.0262332332350823
(60,65],>20,0.0954440989590375,0.0936167726234558,0.0972714252946191
(65,70],>20,0.288842586099814,0.286641244972326,0.291043927227301
(70,75],>20,0.393034825870647,0.378910640097292,0.407159011644001
(40,45],7.5-20,0.0345214420478303,0.0344074500127858,0.0346354340828748
(45,50],7.5-20,0.0644430844553244,0.0642303408280439,0.0646558280826048
(50,55],7.5-20,0.168184589237221,0.167833320484127,0.168535857990314
(55,60],7.5-20,0.331610594841723,0.330983687452233,0.332237502231214
(60,65],7.5-20,0.445180478572394,0.444100128669051,0.446260828475737
(65,70],7.5-20,0.59014685552862,0.58811820776532,0.592175503291919
(70,75],7.5-20,0.597014925373134,0.582950443111195,0.611079407635074
